,index,Name,Category,Year,Link,Name_right,Profession,Birth Info,Description,Birthplace,Birthdate,Age,Pronouns
0,0,Sandra Oh,PIONEERS,2019,/collection/100-most-influential-people-2019/5567697/sandra-oh,Null,Null,"Born: July 20, 1971 (age 49 years), Nepean, Ottawa, Canada",Sandra Miju Oh is a Canadian-American actress. She is best known for her starring roles as Cristina Yang on the ABC medical drama series Grey's Anatomy and Eve Polastri in the spy thriller series Killing Eve. ,"Nepean, Ottawa, Canada","July 20, 1971",49,She
1,1,Indya Moore,PIONEERS,2019,/collection/100-most-influential-people-2019/5567698/indya-moore,Null,Null,"Born: January 17, 1995 (age 25 years), The Bronx, New York, NY","Indya Adrianna Moore is an American actor and model. They are known for playing the role of Angel Evangelista in the FX television series Pose. Time magazine named the actor one of the 100 most influential people in the world in 2019. Moore is transgender and non-binary, and uses they/them pronouns. ","The Bronx, New York, NY","January 17, 1995",25,
2,2,Marlon James,PIONEERS,2019,/collection/100-most-influential-people-2019/5567700/marlon-james,Null,Null,"Born: November 24, 1970 (age 50 years), Kingston, Jamaica","Marlon James is a Jamaican writer. He has written four novels: John Crow's Devil, The Book of Night Women, A Brief History of Seven Killings, winner of the 2015 Man Booker Prize, and Black Leopard, Red Wolf. ","Kingston, Jamaica","November 24, 1970",50,He
3,3,Chrissy Teigen,PIONEERS,2019,/collection/100-most-influential-people-2019/5567708/chrissy-teigen,Null,Null,"Born: November 30, 1985 (age 35 years), Delta, UT","Christine Diane Teigen is an American model, television personality, author, and entrepreneur. She made her professional modeling debut in the annual Sports Illustrated Swimsuit Issue in 2010 and later appeared on the 50th anniversary cover alongside Nina Agdal and Lily Aldridge in 2014. ","Delta, UT","November 30, 1985",35,She
4,4,Massimo Bottura,PIONEERS,2019,/collection/100-most-influential-people-2019/5567706/massimo-bottura,Null,Null,"Born: September 30, 1962 (age 58 years), Modena, Italy","Massimo Bottura is an Italian restaurateur and the chef patron of Osteria Francescana, a three-Michelin-star restaurant based in Modena, Italy which has been listed in the top 5 at The World's 50 Best Restaurants Awards since 2010 and received top ratings from L'Espresso, Gambero Rosso and the Touring Club guides. ","Modena, Italy","September 30, 1962",58,
5,5,Hasan Minhaj,PIONEERS,2019,/collection/100-most-influential-people-2019/5567704/hasan-minhaj,Null,Null,"Born: September 23, 1985 (age 35 years), Davis, CA","Hasan Minhaj is an American comedian, writer, producer, political commentator, actor, and television host. Best known for his Netflix show Patriot Act with Hasan Minhaj, he has won two Peabody Awards and two Webby Awards. ","Davis, CA","September 23, 1985",35,his
6,6,Samin Nosrat,PIONEERS,2019,/collection/100-most-influential-people-2019/5567705/samin-nosrat,Null,Null,"Born: November 7, 1979 (age 41 years), San Diego, CA","Samin Nosrat is an American chef, TV host and food writer. She is a regular food columnist for The New York Times Magazine and has a Netflix docu-series based on her cookbook, Salt Fat Acid Heat. ","San Diego, CA","November 7, 1979",41,She
7,7,Ninja,PIONEERS,2019,/collection/100-most-influential-people-2019/5567713/ninja,Null,Null,"Born: June 5, 1991 (age 29 years), Detroit, MI","Richard Tyler Blevins, better known by his online alias Ninja, is an American streamer, YouTuber, professional gamer, Internet personality, author, and actor. ","Detroit, MI","June 5, 1991",29,his
8,8,Arundhati Katju,PIONEERS,2019,/collection/100-most-influential-people-2019/5567711/arundhati-katju-menaka-guruswamy,Null,Null,"Born: August 19, 1982 (age 38 years), Prayagraj, India","Arundhati Katju is a lawyer qualified to practice in India and New York. She has litigated many notable cases at the Supreme Court of India and the Delhi High Court, including the Section 377 case, the ... ","Prayagraj, India","August 19, 1982",38,She
9,9,Naomi Osaka,PIONEERS,2019,/collection/100-most-influential-people-2019/5567714/naomi-osaka,Null,Null,"Born: October 16, 1997 (age 23 years), Chuo Ward, Osaka, Japan","Naomi Osaka is a Japanese professional tennis player. Osaka has been ranked No. 1 by the Women's Tennis Association, and is the first Asian player to hold the top ranking in singles. She is a three-time Grand Slam singles champion, and is the reigning champion at the US Open. ","Chuo Ward, Osaka, Japan","October 16, 1997",23,She
10,10,Leah Greenberg,PIONEERS,2019,/collection/100-most-influential-people-2019/5567710/leah-greenberg-ezra-levin,Null,Null,"Born: 1987 (age 33 years), Chevy Chase, MD","Leah Greenberg is an American political activist and co-founder of the progressive non-profit organization, Indivisible. She is co-author of We Are Indivisible: A Blueprint for Democracy After Trump, published in 2019. ","Chevy Chase, MD",1987,33,She
11,11,Fred Swaniker,PIONEERS,2019,/collection/100-most-influential-people-2019/5567703/fred-swaniker,Null,Null,"Born: 1976 (age 44 years), Ghana","Fred Swaniker is a Ghanaian entrepreneur and leadership development expert. He has launched four organizations that aim to develop leaders, primarily in Africa. ",Ghana,1976,44,He
12,12,Lynn Nottage,PIONEERS,2019,/collection/100-most-influential-people-2019/5569480/lynn-nottage,Null,Null,"Born: November 2, 1964 (age 56 years), Brooklyn, New York, NY","Lynn Nottage is an American playwright whose work often deals with the lives of marginalized people. She is a professor of Playwriting at Columbia University. She was the first woman to have won the Pulitzer Prize for Drama twice; the first in 2009 for Ruined, and the second in 2017 for Sweat. ","Brooklyn, New York, NY","November 2, 1964",56,She
13,13,Tara Westover,PIONEERS,2019,/collection/100-most-influential-people-2019/5567699/tara-westover,Null,Null,"Born: September 27, 1986 (age 34 years), Clifton, ID","Tara Westover is an American memoirist, essayist and historian. Her memoir Educated debuted at #1 on The New York Times bestseller list and was a finalist for a number of national awards, including the LA Times Book Prize, PEN America's Jean Stein Book Award, and two awards from the National Book Critics Circle Award. ","Clifton, ID","September 27, 1986",34,Her
14,14,Adam Bowen,PIONEERS,2019,/collection/100-most-influential-people-2019/5567701/adam-bowen-james-monsees,Null,Null,Nationality: American,"Adam Bowen is an American businessman, and the co-founder and chief technology officer of Juul Labs, an electronic cigarette company. Bowen earned a BA in physics from Pomona College, followed by an MS in product design from Stanford University. ",,,,
